4,6,1,0,0
5,6,1,0,0
6,7,1,1,0
7,8,1,1,0
8,9,1,1,0
9,10,1,1,0
10,11,1,1,0
11,12,1,1,0
12,12,1,0,0
13,12,1,0,0
14,13,1,1,0
15,13,1,0,0
16,13,1,0,0
17,13,1,0,0
18,13,1,0,0
19,14,1,1,0
20,14,1,0,0
21,14,1,0,0
22,14,1,0,0
23,15,1,1,0
24,16,1,1,0
25,17,2,1,1
26,17,2,0,0
27,17,2,0,0
28,17,2,0,0
29,18,2,1,0
30,18,2,0,0
31,19,2,1,0
32,19,2,0,0
33,19,2,0,0
34,19,2,0,0
35,19,3,0,1
36,20,3,1,0
37,22,3,2,0
38,23,3,1,0
39,25,3,2,0
40,25,3,0,0
41,26,4,1,1
42,29,4,3,0
43,31,4,2,0
44,33,4,2,0
45,35,4,2,0
46,36,4,1,0
47,39,5,3,1
48,40,5,1,0
49,42,5,2,0
50,43,5,1,0
51,44,5,1,0
52,47,5,3,0
53,50,6,3,1
54,53,6,3,0
55,56,7,3,1
56,58,7,2,0
57,60,7,2,0
58,63,9,3,2
59,66,10,3,1
60,70,11,4,1
61,76,12,6,1
62,80,12,4,0
63,85,13,5,1
64,90,14,5,1
65,94,16,4,2
66,100,17,6,1
67,110,17,10,0
68,117,20,7,3
69,128,21,11,1
70,136,22,8,1
71,145,24,9,2
72,156,25,11,1
73,165,26,9,1
74,174,28,9,2
75,186,29,12,1
76,196,29,10,0
77,204,31,8,2
78,213,35,9,4
79,227,36,14,1
80,236,39,9,3
81,251,41,15,2
82,266,46,15,5
83,280,50,14,4
84,297,53,17,3
85,320,59,23,6
86,347,64,27,5
87,370,68,23,4
88,390,73,20,5
89,414,79,24,6
90,440,83,26,4
91,470,89,30,6
92,505,93,35,4
93,543,96,38,3
94,579,103,36,7
95,608,109,29,6
96,644,112,36,3
97,677,120,33,8
98,716,126,39,6
99,762,127,46,1
100,803,133,41,6
101,848,148,45,15
102,894,158,46,10
103,946,164,52,6
104,1004,171,58,7
105,1051,180,47,9
106,1114,195,63,15
107,1184,205,70,10
108,1251,225,67,20
109,1314,238,63,13
110,1393,254,79,16
111,1476,264,83,10
112,1570,278,94,14
113,1671,289,101,11
114,1766,309,95,20
115,1864,330,98,21
116,1969,348,105,18
117,2090,366,121,18
118,2205,389,115,23
119,2322,411,117,22
120,2445,432,123,21
121,2579,458,134,26
122,2731,486,152,28
123,2873,518,142,32
124,3030,553,157,35
125,3203,577,173,24
126,3386,609,183,32
127,3558,644,172,35
128,3770,681,212,37
129,3982,729,212,48
130,4215,767,233,38
